"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"32020-85523","PG","Jordan","Jordan Loyd","Loyd","6.166666666666667","3","3500","TOR@BOS","TOR","BOS","","","","",""
"32020-97299","SG","Zach","Zach Lofton","Lofton","2","1","3500","ORL@DET","DET","ORL","GTD","Hamstring","","",""
"32020-48668","PG","Troy","Troy Caupain","Caupain","7.449999809265137","2","3500","ORL@DET","ORL","DET","","","","",""
"32020-16925","PF","Jarnell","Jarnell Stokes","Stokes","0","0","3500","MIL@MEM","MEM","MIL","","","","",""
"32020-23581","PF","Amile","Amile Jefferson","Jefferson","3.200000047683716","1","3500","ORL@DET","ORL","DET","","","","",""
"32020-66091","PF","Cheick","Cheick Diallo","Diallo","9.824137720568427","29","3500","NO@GS","NO","GS","","","","",""
"32020-37931","C","Aron","Aron Baynes","Baynes","13.44800048828125","25","3500","TOR@BOS","BOS","TOR","GTD","Hand","","",""
"32020-12334","SG","Avery","Avery Bradley","Bradley","14.721621951541385","37","3500","UTA@LAC","LAC","UTA","","","","",""
"32020-15417","SF","Solomon","Solomon Hill","Hill","11.321428571428571","28","3500","NO@GS","NO","GS","","","","",""
"32020-66104","PG","Isaiah","Isaiah Briscoe","Briscoe","4.971428644089472","21","3500","ORL@DET","ORL","DET","","","","",""
"32020-12348","SF","Wesley","Wesley Johnson","Johnson","9.075000127156576","24","3500","NO@GS","NO","GS","","","","",""
"32020-12357","SG","Quincy","Quincy Pondexter","Pondexter","4.448484940962358","33","3500","SA@DAL","SA","DAL","","","","",""
"32020-15952","PF","John","John Henson","Henson","16.22857121058873","14","3500","CLE@POR","CLE","POR","O","Wrist","","",""
"32020-23121","PF","Tyler","Tyler Cavanaugh","Cavanaugh","0.6000000238418579","2","3500","UTA@LAC","UTA","LAC","","","","",""
"32020-17491","SF","James","James Ennis III","Ennis III","13.82999979654948","30","3500","BKN@HOU","HOU","BKN","","","","",""
"32020-85586","PF","Marcus","Marcus Derrickson","Derrickson","3.633333206176758","6","3500","NO@GS","GS","NO","","","","",""
"32020-68203","PF","Chris","Chris Boucher","Boucher","8.716666539510092","12","3500","TOR@BOS","TOR","BOS","","","","",""
"32020-17517","SG","Tony","Tony Snell","Snell","11.53255799759266","43","3500","MIL@MEM","MIL","MEM","","","","",""
"32020-23155","SG","Naz","Naz Mitrou-Long","Mitrou-Long","0.875","4","3500","UTA@LAC","UTA","LAC","","","","",""
"32020-23156","PF","Georges","Georges Niang","Niang","5.612903225806452","31","3500","UTA@LAC","UTA","LAC","","","","",""
"32020-41077","SG","Sindarius","Sindarius Thornwell","Thornwell","2.86296307599103","27","3500","UTA@LAC","LAC","UTA","","","","",""
"32020-15993","SG","Pat","Pat Connaughton","Connaughton","15.99642835344587","28","3500","MIL@MEM","MIL","MEM","","","","",""
"32020-58490","PG","Wade","Wade Baldwin IV","Baldwin IV","3.59999994131235","13","3500","CLE@POR","POR","CLE","","","","",""
"32020-67707","PF","Marquese","Marquese Chriss","Chriss","5.007692190317007","13","3500","BKN@HOU","HOU","BKN","","","","",""
"32020-15996","PG","Jerian","Jerian Grant","Grant","12.202500152587891","40","3500","ORL@DET","ORL","DET","","","","",""
"32020-41597","PF","Johnathan","Johnathan Motley","Motley","3.950000047683716","4","3500","UTA@LAC","LAC","UTA","","","","",""
"32020-67708","PG","Dejounte","Dejounte Murray","Murray","22.23827220775463","81","3500","SA@DAL","SA","DAL","O","Knee","","",""
"32020-81026","PG","Milos","Milos Teodosic","Teodosic","7.079999796549479","15","3500","UTA@LAC","LAC","UTA","","","","",""
"32020-17542","PF","Alan","Alan Williams","Williams","19.600000381469727","1","3500","BKN@HOU","BKN","HOU","","","","",""
"32020-12424","C","Timofey","Timofey Mozgov","Mozgov","9.229032454952117","31","3500","ORL@DET","ORL","DET","O","Knee","","",""
"32020-9874","PF","Kevin","Kevin Love","Love","39.45000076293945","4","3500","CLE@POR","CLE","POR","O","Toe","","",""
"32020-66196","SG","PJ","PJ Dozier","Dozier","2.950000047683716","4","3500","TOR@BOS","BOS","TOR","","","","",""
"32020-85140","PG","Keenan","Keenan Evans","Evans","0","0","3500","ORL@DET","DET","ORL","","","","",""
"32020-66203","SG","Malachi","Malachi Richardson","Richardson","1.8799999237060547","20","3500","TOR@BOS","TOR","BOS","","","","",""
